,Unnamed: 0,road,subroad,type,id,coords,B4_max,B4_mean,B4_min,B8_max,B8_mean,B8_min,B4_diff_factor,B8_diff_factor
34,34,49,1,road,34,,-292.5,-374.5572715572714,-464.0,-293.0,-308.1093951093951,-467.5,-67.83143208218007,-223.72463901774967
35,35,49,1,road,35,,-305.5,-345.2201298701302,-573.5,-158.0,-229.5344155844159,-478.5,-67.83143208218007,-223.72463901774967
36,36,49,1,road,36,,-444.0,-409.7641388174811,-529.5,-196.0,-234.5167095115676,-261.0,-67.83143208218007,-223.72463901774967
37,37,49,1,road,37,,-680.0,-612.6199999999999,-449.5,-139.0,-221.68516129032287,-294.0,-67.83143208218007,-223.72463901774967
38,38,49,1,road,38,,-996.0,-813.1238651102466,-493.0,-433.0,-413.6608300907913,-477.0,-67.83143208218007,-223.72463901774967
39,39,49,1,road,39,,-314.5,-304.751291989664,-353.5,-449.0,-374.378552971576,-406.5,-67.83143208218007,-223.72463901774967
40,40,49,1,road,40,,-342.0,-284.5064850843064,-46.5,-409.0,-359.35278858625134,-314.5,-67.83143208218007,-223.72463901774967
41,41,49,1,road,41,,-296.5,-190.93758043758064,-92.0,-367.0,-269.6061776061781,-292.0,-67.83143208218007,-223.72463901774967
42,42,49,1,road,42,,-317.0,-131.41709511568138,-96.5,-281.0,-270.62082262210834,-295.5,-67.83143208218007,-223.72463901774967
43,43,49,1,road,43,,-348.5,-291.93475452196367,-223.5,-266.0,-232.72545219638232,-39.0,-67.83143208218007,-223.72463901774967
44,44,49,1,road,44,,-176.0,-268.9350649350647,-509.0,-284.0,-344.2512987012988,-514.5,-67.83143208218007,-223.72463901774967
45,45,49,1,road,45,,-49.5,-38.372077922078006,-47.5,-228.5,-148.1753246753251,-249.0,-67.83143208218007,-223.72463901774967
46,46,49,1,road,46,,-72.0,28.671391752577165,280.5,-177.0,-115.591494845361,33.5,-67.83143208218007,-223.72463901774967
47,47,49,1,road,47,,-121.5,-1.0812903225807986,83.5,-150.5,-40.11806451612938,53.5,-67.83143208218007,-223.72463901774967
48,48,49,1,road,48,,-19.0,-90.4883419689122,-277.5,-103.0,-73.19170984455923,-87.0,-67.83143208218007,-223.72463901774967
49,49,49,1,road,49,,-151.5,-271.7074742268039,-472.5,-164.5,-81.48969072164982,101.0,-67.83143208218007,-223.72463901774967
50,50,49,1,road,50,,-666.0,-597.2788586251622,-909.0,-446.0,-380.1076523994816,-596.5,-67.83143208218007,-223.72463901774967
51,51,49,1,road,51,,-489.5,-628.1808236808236,-641.5,-409.0,-394.0257400257401,-379.0,-67.83143208218007,-223.72463901774967
52,52,49,1,road,52,,-590.5,-441.30759330759327,-426.5,90.0,-64.37258687258691,-132.0,-67.83143208218007,-223.72463901774967
53,53,49,1,road,53,,-845.5,-681.2862694300518,-633.5,-118.0,-166.0693005181347,-162.0,-67.83143208218007,-223.72463901774967
54,54,49,1,road,54,,-201.0,-276.6555269922876,-358.0,-69.5,-114.48650385604104,-218.5,-67.83143208218007,-223.72463901774967
55,55,49,1,road,55,,-648.0,-441.0367268041237,-342.5,-229.5,-179.53221649484522,-13.5,-67.83143208218007,-223.72463901774967
56,56,49,1,road,56,,-716.0,-688.0629870129874,-789.5,-540.5,-432.4129870129871,-360.5,-67.83143208218007,-223.72463901774967
57,57,49,1,road,57,,-386.5,-288.0971685971688,-392.5,-103.0,-153.9858429858432,-156.5,-67.83143208218007,-223.72463901774967
58,58,49,1,road,58,,-211.5,-121.84213917525769,-142.5,-291.5,-113.05734536082493,-64.5,-67.83143208218007,-223.72463901774967
59,59,49,1,road,59,,-104.0,-0.9779507133589505,146.0,149.5,82.32555123216616,108.5,-67.83143208218007,-223.72463901774967
60,60,49,1,road,60,,-453.0,-320.2181818181821,-310.5,-177.5,-172.94740259740274,-165.5,-67.83143208218007,-223.72463901774967
61,61,49,1,road,61,,35.0,-110.26843467011668,-180.0,2.5,-39.932729624837975,-149.0,-67.83143208218007,-223.72463901774967
62,62,49,1,road,62,,251.5,134.9961290322583,131.0,561.5,451.6890322580641,530.0,-67.83143208218007,-223.72463901774967
63,63,49,1,road,63,,-77.5,-55.755784061696886,3.0,796.0,735.5437017994855,848.0,-67.83143208218007,-223.72463901774967
